,Date/Time,home_score,away_score,home_team,away_team,date_minus_1year,goals_past1,goals_past2,nb_draws1,nb_draws2,nb_draws_opp1,nb_draws_opp2,nb_losses1,nb_losses2,nb_losses_opp1,nb_losses_opp2,nb_matches1,nb_matches2,nb_wins1,nb_wins2,nb_wins_opp1,nb_wins_opp2,ratio_draws1,ratio_draws2,ratio_draws_opp1,ratio_draws_opp2,ratio_goals_past1,ratio_goals_past2,ratio_losses1,ratio_losses2,ratio_losses_opp1,ratio_losses_opp2,ratio_wins1,ratio_wins2,ratio_wins_opp1,ratio_wins_opp2
10,2018-03-27,1,1,England,Italy,2017-03-27,13,21,3,2,0,0,5,6,0,0,9,11,5,6,0,0,0.3333333333333333,0.18181818181818185,0.0,0.0,0.6842105263157895,0.7241379310344828,0.1111111111111111,0.2727272727272727,0.0,0.0,0.5555555555555556,0.5454545454545454,0.0,0.0
244,2017-11-14,0,0,England,Brazil,2016-11-14,16,19,3,2,0,0,5,7,0,0,10,10,5,7,0,0,0.3,0.2,0.0,0.0,0.64,0.8636363636363636,0.2,0.1,0.0,0.0,0.5,0.7,0.0,0.0
300,2017-11-10,0,0,England,Germany,2016-11-10,19,49,2,3,0,0,6,12,1,0,10,15,6,12,0,1,0.2,0.2,0.0,0.0,0.6785714285714286,0.8305084745762712,0.2,0.0,1.0,0.0,0.6,0.8,0.0,1.0
731,2017-06-10,2,2,Scotland,England,2016-06-10,8,14,2,4,0,0,2,5,1,0,6,11,2,5,0,1,0.3333333333333333,0.3636363636363637,0.0,0.0,0.4705882352941176,0.6666666666666666,0.3333333333333333,0.18181818181818185,1.0,0.0,0.3333333333333333,0.4545454545454545,0.0,1.0
1042,2016-11-15,2,2,England,Spain,2015-11-15,21,32,3,3,0,0,9,8,0,0,14,14,9,8,0,0,0.21428571428571427,0.21428571428571427,0.0,0.0,0.6774193548387096,0.7804878048780488,0.14285714285714285,0.21428571428571427,0.0,0.0,0.6428571428571429,0.5714285714285714,0.0,0.0
1184,2016-10-11,0,0,Slovenia,England,2015-10-11,7,21,3,2,0,0,3,9,0,0,9,14,3,9,0,0,0.3333333333333333,0.14285714285714285,0.0,0.0,0.5,0.6363636363636364,0.3333333333333333,0.21428571428571427,0.0,0.0,0.3333333333333333,0.6428571428571429,0.0,0.0
1444,2016-06-20,0,0,Slovakia,England,2015-06-20,21,27,4,1,0,0,6,10,0,0,13,13,6,10,0,0,0.3076923076923077,0.07692307692307693,0.0,0.0,0.5833333333333334,0.7297297297297297,0.2307692307692308,0.15384615384615385,0.0,0.0,0.4615384615384616,0.7692307692307693,0.0,0.0
1497,2016-06-11,1,1,England,Russia,2015-06-11,27,21,0,1,0,0,10,6,0,0,12,11,10,6,0,0,0.0,0.09090909090909093,0.0,0.0,0.7297297297297297,0.6363636363636364,0.16666666666666666,0.3636363636363637,0.0,0.0,0.8333333333333334,0.5454545454545454,0.0,0.0
2541,2015-06-07,0,0,Ireland,England,2014-06-07,18,22,2,3,0,0,4,7,0,0,8,12,4,7,0,0,0.25,0.25,0.0,0.0,0.6428571428571429,0.7586206896551724,0.25,0.16666666666666666,0.0,0.0,0.5,0.5833333333333334,0.0,0.0
2621,2015-03-31,1,1,Italy,England,2014-03-31,14,26,4,3,0,0,6,8,0,1,12,13,6,8,1,0,0.3333333333333333,0.2307692307692308,0.0,0.0,0.6363636363636364,0.7647058823529411,0.16666666666666666,0.15384615384615385,0.0,1.0,0.5,0.6153846153846154,1.0,0.0
3336,2014-06-24,0,0,Costa Rica,England,2013-06-24,20,21,2,3,0,0,7,6,0,0,16,13,7,6,0,0,0.125,0.2307692307692308,0.0,0.0,0.5405405405405406,0.6363636363636364,0.4375,0.3076923076923077,0.0,0.0,0.4375,0.4615384615384616,0.0,0.0
3383,2014-06-07,0,0,Honduras,England,2013-06-07,18,19,3,2,0,0,6,6,0,0,15,10,6,6,0,0,0.2,0.2,0.0,0.0,0.4390243902439024,0.7037037037037037,0.4,0.2,0.0,0.0,0.4,0.6,0.0,0.0
3399,2014-06-04,2,2,Ecuador,England,2013-06-04,12,17,5,1,0,0,2,6,0,0,12,9,2,6,0,0,0.4166666666666667,0.1111111111111111,0.0,0.0,0.4137931034482759,0.7391304347826086,0.4166666666666667,0.2222222222222222,0.0,0.0,0.16666666666666666,0.6666666666666666,0.0,0.0
3927,2013-09-10,0,0,Ukraine,England,2012-09-10,24,30,3,5,1,1,7,5,0,0,11,11,7,5,0,0,0.2727272727272727,0.4545454545454545,1.0,1.0,0.8571428571428571,0.6976744186046512,0.09090909090909093,0.09090909090909093,0.0,0.0,0.6363636363636364,0.4545454545454545,0.0,0.0
4296,2013-06-02,2,2,Brazil,England,2012-06-02,39,34,4,6,0,0,7,8,1,0,15,15,7,8,0,1,0.26666666666666666,0.4,0.0,0.0,0.6964285714285714,0.7234042553191491,0.26666666666666666,0.06666666666666668,1.0,0.0,0.4666666666666667,0.5333333333333333,0.0,1.0
4304,2013-05-29,1,1,England,Ireland,2012-05-29,33,16,5,4,0,0,8,4,0,0,14,13,8,4,0,0,0.35714285714285715,0.3076923076923077,0.0,0.0,0.7333333333333333,0.4324324324324325,0.07142857142857142,0.38461538461538464,0.0,0.0,0.5714285714285714,0.3076923076923077,0.0,0.0
4364,2013-03-26,1,1,Montenegro,England,2012-03-26,17,33,2,4,0,0,5,9,0,0,7,14,5,9,0,0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.8095238095238095,0.75,0.0,0.07142857142857142,0.0,0.0,0.7142857142857143,0.6428571428571429,0.0,0.0
4814,2012-10-17,1,1,Poland,England,2011-10-17,15,24,4,3,0,0,6,9,0,0,13,13,6,9,0,0,0.3076923076923077,0.2307692307692308,0.0,0.0,0.625,0.75,0.2307692307692308,0.07692307692307693,0.0,0.0,0.4615384615384616,0.6923076923076923,0.0,0.0
4974,2012-09-11,1,1,England,Ukraine,2011-09-11,20,21,3,2,0,0,8,6,0,1,12,12,8,6,1,0,0.25,0.16666666666666666,0.0,0.0,0.6896551724137931,0.5833333333333334,0.08333333333333333,0.3333333333333333,0.0,1.0,0.6666666666666666,0.5,1.0,0.0
5182,2012-06-24,0,0,England,Italy,2011-06-24,17,14,2,3,0,0,8,6,0,0,11,12,8,6,0,0,0.18181818181818185,0.25,0.0,0.0,0.68,0.6086956521739131,0.09090909090909093,0.25,0.0,0.0,0.7272727272727273,0.5,0.0,0.0
5234,2012-06-11,1,1,France,England,2011-06-11,19,12,4,1,0,0,7,6,0,0,11,8,7,6,0,0,0.3636363636363637,0.125,0.0,0.0,0.76,0.7058823529411765,0.0,0.125,0.0,0.0,0.6363636363636364,0.75,0.0,0.0
5912,2011-10-07,2,2,Montenegro,England,2010-10-07,8,12,2,3,1,1,3,4,0,0,7,8,3,4,0,0,0.2857142857142857,0.375,1.0,1.0,0.5714285714285714,0.6666666666666666,0.2857142857142857,0.125,0.0,0.0,0.42857142857142855,0.5,0.0,0.0
6342,2011-06-04,2,2,England,Switzerland,2010-06-04,18,10,4,6,0,0,6,3,0,1,12,12,6,3,1,0,0.3333333333333333,0.5,0.0,0.0,0.6206896551724138,0.5263157894736842,0.16666666666666666,0.25,0.0,1.0,0.5,0.25,1.0,0.0
6420,2011-03-29,1,1,England,Ghana,2010-03-29,22,17,3,4,0,0,8,6,0,0,13,13,8,6,0,0,0.2307692307692308,0.3076923076923077,0.0,0.0,0.6470588235294118,0.6296296296296297,0.15384615384615385,0.2307692307692308,0.0,0.0,0.6153846153846154,0.4615384615384616,0.0,0.0
6848,2010-10-12,0,0,England,Montenegro,2009-10-12,23,8,2,1,0,0,8,5,0,0,12,9,8,5,0,0,0.16666666666666666,0.1111111111111111,0.0,0.0,0.6764705882352942,0.6153846153846154,0.16666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.5555555555555556,0.0,0.0
7213,2010-06-18,0,0,England,Algeria,2009-06-18,21,13,2,1,0,0,6,8,0,0,10,16,6,8,0,0,0.2,0.0625,0.0,0.0,0.6774193548387096,0.3939393939393939,0.2,0.4375,0.0,0.0,0.6,0.5,0.0,0.0
7232,2010-06-12,1,1,England,USA,2009-06-12,20,41,1,2,0,0,6,12,0,0,9,24,6,12,0,0,0.1111111111111111,0.08333333333333333,0.0,0.0,0.6896551724137931,0.5061728395061729,0.2222222222222222,0.4166666666666667,0.0,0.0,0.6666666666666666,0.5,0.0,0.0
7894,2009-08-12,2,2,Netherlands,England,2008-08-12,22,34,2,1,0,0,8,9,0,0,11,11,8,9,0,0,0.18181818181818185,0.09090909090909093,0.0,0.0,0.7586206896551724,0.7906976744186046,0.09090909090909093,0.09090909090909093,0.0,0.0,0.7272727272727273,0.8181818181818182,0.0,0.0
8752,2008-08-20,2,2,England,Czech Republic,2007-08-20,21,23,0,2,0,0,7,8,0,0,11,13,7,8,0,0,0.0,0.15384615384615385,0.0,0.0,0.7,0.6571428571428571,0.3636363636363637,0.2307692307692308,0.0,0.0,0.6363636363636364,0.6153846153846154,0.0,0.0
10102,2007-06-01,1,1,England,Brazil,2006-06-01,26,29,5,1,0,0,8,11,0,0,15,14,8,11,0,0,0.3333333333333333,0.07142857142857142,0.0,0.0,0.8125,0.8055555555555556,0.13333333333333333,0.14285714285714285,0.0,0.0,0.5333333333333333,0.7857142857142857,0.0,0.0
