Country,Russia,Distance_km,Mileage
Andorra , Russia,"6,597","4,099"
United Arab Emirates , Russia,"5,731","3,561"
Afghanistan , Russia,"4,056","2,520"
Antigua and Barbuda , Russia,"11,202","6,961"
Anguilla , Russia,"11,088","6,890"
Albania , Russia,"5,837","3,627"
Armenia , Russia,"4,636","2,881"
Angola , Russia,"10,966","6,814"
Antarctica , Russia,"17,164","10,665"
Argentina , Russia,"17,335","10,771"
American Samoa , Russia,"11,088","6,890"
Austria , Russia,"5,550","3,449"
Australia , Russia,"9,984","6,204"
Aruba , Russia,"11,771","7,314"
Aland Islands , Russia,"4,291","2,666"
Azerbaijan , Russia,"4,495","2,793"
Bosnia and Herzegovina , Russia,"5,716","3,552"
Barbados , Russia,"11,601","7,209"
Bangladesh , Russia,"4,359","2,709"
Belgium , Russia,"5,737","3,565"
Burkina Faso , Russia,"9,682","6,016"
Bulgaria , Russia,"5,429","3,373"
Bahrain , Russia,"5,638","3,503"
Burundi , Russia,"9,572","5,948"
Benin , Russia,"9,776","6,075"
Saint Barthelemy , Russia,"11,121","6,910"
Bermuda , Russia,"9,543","5,930"
Brunei , Russia,"6,385","3,967"
Bolivia , Russia,"14,909","9,264"
Bonaire, Saint Eustatius and Saba , Russia","11,800","7,332"
Brazil , Russia,"14,452","8,980"
Bahamas , Russia,"10,387","6,454"
Bhutan , Russia,"3,940","2,448"
Bouvet Island , Russia,"15,628","9,711"
Botswana , Russia,"11,698","7,269"
Belarus , Russia,"4,406","2,738"
Canada , Russia,"6,644","4,128"
Cocos Islands , Russia,"8,228","5,113"
Democratic Republic of the Congo , Russia,"10,062","6,252"
Central African Republic , Russia,"9,064","5,632"
Republic of the Congo , Russia,"10,003","6,216"
Switzerland , Russia,"5,902","3,667"
Ivory Coast , Russia,"10,345","6,428"
Cook Islands , Russia,"12,329","7,661"
Chile , Russia,"17,132","10,645"
Cameroon , Russia,"9,444","5,868"
China , Russia,"2,855","1,774"
Colombia , Russia,"12,666","7,870"
Costa Rica , Russia,"12,050","7,488"
Cuba , Russia,"10,777","6,697"
Cape Verde , Russia,"10,389","6,455"
Curacao , Russia,"11,805","7,335"
Christmas Island , Russia,"8,003","4,973"
Cyprus , Russia,"5,690","3,536"
Czech Republic , Russia,"5,309","3,299"
Germany , Russia,"5,421","3,368"
Denmark , Russia,"5,030","3,125"
Dominica , Russia,"11,379","7,071"
Dominican Republic , Russia,"11,082","6,886"
Algeria , Russia,"7,974","4,955"
Ecuador , Russia,"13,371","8,308"
Es,nia , Russia,"4,183","2,599"
Egypt , Russia,"6,596","4,099"
Western Sahara , Russia,"9,016","5,602"
Eritrea , Russia,"7,241","4,499"
Spain , Russia,"7,022","4,363"
Ethiopia , Russia,"7,798","4,845"
Finland , Russia,"3,924","2,438"
