Team1,Team2,Rounds,Year_com,Day,Month,Year,Score1,Score2,Ranking T1,Score T1,Ranking T2,Score T2,Winner
Russia,Saudi Arabia,Group Phase,2018-6-14,14,6,2018,5,0,70.0,457,67.0,465,1
Egypt,Uruguay,Group Phase,2018-6-15,15,6,2018,0,1,45.0,649,14.0,1018,2
Morocco,IR Iran,Group Phase,2018-6-15,15,6,2018,0,1,41.0,686,37.0,708,2
Portugal,Spain,Group Phase,2018-6-15,15,6,2018,3,3,4.0,1274,10.0,1126,0
France,Australia,Group Phase,2018-6-16,16,6,2018,2,1,7.0,1198,36.0,718,1
Argentina,Iceland,Group Phase,2018-6-16,16,6,2018,1,1,5.0,1241,22.0,908,0
Peru,Denmark,Group Phase,2018-6-16,16,6,2018,0,1,11.0,1125,12.0,1051,2
Croatia,Nigeria,Group Phase,2018-6-16,16,6,2018,2,0,20.0,945,48.0,618,1
Costa Rica,Serbia,Group Phase,2018-6-17,17,6,2018,0,1,23.0,884,34.0,751,2
Germany,Mexico,Group Phase,2018-6-17,17,6,2018,0,1,1.0,1558,15.0,989,2
Brazil,Switzerland,Group Phase,2018-6-17,17,6,2018,1,1,2.0,1431,6.0,1199,0
Sweden,Korea Republic,Group Phase,2018-6-18,18,6,2018,1,0,24.0,880,57.0,544,1
Belgium,Panama,Group Phase,2018-6-18,18,6,2018,3,0,3.0,1298,55.0,571,1
Tunisia,England,Group Phase,2018-6-18,18,6,2018,1,2,21.0,910,12.0,1051,2
Colombia,Japan,Group Phase,2018-6-19,19,6,2018,1,2,16.0,986,61.0,521,2
Poland,Senegal,Group Phase,2018-6-19,19,6,2018,1,2,8.0,1183,27.0,838,2
Russia,Egypt,Group Phase,2018-6-19,19,6,2018,3,1,70.0,457,45.0,649,1
Portugal,Morocco,Group Phase,2018-6-20,20,6,2018,1,0,4.0,1274,41.0,686,1
Uruguay,Saudi Arabia,Group Phase,2018-6-20,20,6,2018,1,0,14.0,1018,67.0,465,1
IR Iran,Spain,Group Phase,2018-6-20,20,6,2018,0,1,37.0,708,10.0,1126,2
Denmark,Australia,Group Phase,2018-6-21,21,6,2018,1,1,12.0,1051,36.0,718,0
France,Peru,Group Phase,2018-6-21,21,6,2018,1,0,7.0,1198,11.0,1125,1
Argentina,Croatia,Group Phase,2018-6-21,21,6,2018,0,3,5.0,1241,20.0,945,2
Brazil,Costa Rica,Group Phase,2018-6-22,22,6,2018,2,0,2.0,1431,23.0,884,1
Nigeria,Iceland,Group Phase,2018-6-22,22,6,2018,2,0,48.0,618,22.0,908,1
Serbia,Switzerland,Group Phase,2018-6-22,22,6,2018,1,2,34.0,751,6.0,1199,2
Belgium,Tunisia,Group Phase,2018-6-23,23,6,2018,5,2,3.0,1298,21.0,910,1
Korea Republic,Mexico,Group Phase,2018-6-23,23,6,2018,1,2,57.0,544,15.0,989,2
Germany,Sweden,Group Phase,2018-6-23,23,6,2018,2,1,1.0,1558,24.0,880,1
England,Panama,Group Phase,2018-6-24,24,6,2018,6,1,12.0,1051,55.0,571,1
Japan,Senegal,Group Phase,2018-6-24,24,6,2018,2,2,61.0,521,27.0,838,0
Poland,Colombia,Group Phase,2018-6-24,24,6,2018,0,3,8.0,1183,16.0,986,2
Uruguay,Russia,Group Phase,2018-6-25,25,6,2018,3,0,14.0,1018,70.0,457,1
